title,city,locality,listing_type,property_type,slug,status,price,price_per_sqft,developer_name,total_area_sqft,possession_date,address,rera_number,is_rera_verified,is_featured,is_gift_city,is_zero_brokerage,is_exclusive,roi_potential,rental_yield,description,meta_title,meta_description,meta_keywords,amenities,highlights
Sky Residences 3BHK,Ahmedabad,Prahlad Nagar,buy,residential,,active,8500000,7500,Shivalik Group,25000,2026-12-31,"Prahlad Nagar, Ahmedabad, Gujarat",PR/GJ/AHMD/12345/2024,true,true,false,true,false,14.5,5.6,"Premium 3BHK near SG Highway. 3BHK apartment in Prahlad Nagar, Ahmedabad with modern amenities.",Sky Residences 3BHK - 3BHK in Prahlad Nagar Ahmedabad,Buy/Rent 3BHK in Prahlad Nagar. Premium 3BHK near SG Highway,"3BHK,Prahlad Nagar,Ahmedabad,buy,residential","[""Indoor Games"",""Power Backup"",""Tennis Court"",""Multiplex"",""Children Play Area""]","[""RERA Verified"",""Zero Brokerage""]"
Green Valley 2BHK,Ahmedabad,Satellite,buy,residential,,active,5500000,6800,Safal Group,18000,2026-09-30,"Satellite, Ahmedabad, Gujarat",PR/GJ/AHMD/23456/2024,true,false,false,false,false,,,"Affordable 2BHK in Satellite. 2BHK apartment in Satellite, Ahmedabad with modern amenities.",Green Valley 2BHK - 2BHK in Satellite Ahmedabad,Buy/Rent 2BHK in Satellite. Affordable 2BHK in Satellite,"2BHK,Satellite,Ahmedabad,buy,residential","[""Children Play Area"",""Shopping Complex"",""Swimming Pool"",""Indoor Games"",""Multiplex""]","[""RERA Verified"",""Zero Brokerage""]"
Sunflower Heights 4BHK,Ahmedabad,Bodakdev,buy,residential,,active,14000000,9200,Goyal & Co,35000,2027-03-31,"Bodakdev, Ahmedabad, Gujarat",PR/GJ/AHMD/34567/2024,true,true,false,false,true,16.0,,"Luxury 4BHK in Bodakdev. 4BHK apartment in Bodakdev, Ahmedabad with modern amenities.",Sunflower Heights 4BHK - 4BHK in Bodakdev Ahmedabad,Buy/Rent 4BHK in Bodakdev. Luxury 4BHK in Bodakdev,"4BHK,Bodakdev,Ahmedabad,buy,residential","[""Shopping Complex"",""Clubhouse"",""Co-working Space"",""Power Backup"",""Multiplex""]","[""RERA Verified"",""Zero Brokerage""]"
Maple Grove 2BHK,Ahmedabad,Vastrapur,rent,residential,,active,35000,,Adani Realty,,,"Vastrapur, Ahmedabad, Gujarat",,false,false,false,true,false,,5.2,"Fully furnished 2BHK for rent. 2BHK apartment in Vastrapur, Ahmedabad with modern amenities.",Maple Grove 2BHK - 2BHK in Vastrapur Ahmedabad,Buy/Rent 2BHK in Vastrapur. Fully furnished 2BHK for rent,"2BHK,Vastrapur,Ahmedabad,buy,residential","[""Co-working Space"",""Swimming Pool"",""Guest Suites"",""Rooftop Garden"",""Tennis Court""]","[""Ready to Move""]"
Crystal Tower 3BHK,Ahmedabad,Thaltej,buy,residential,,active,7800000,8100,Aavkar Group,22000,2026-06-30,"Thaltej, Ahmedabad, Gujarat",PR/GJ/AHMD/45678/2024,true,true,false,false,false,13.0,5.5,"3BHK near Thaltej Metro. 3BHK apartment in Thaltej, Ahmedabad with modern amenities.",Crystal Tower 3BHK - 3BHK in Thaltej Ahmedabad,Buy/Rent 3BHK in Thaltej. 3BHK near Thaltej Metro,"3BHK,Thaltej,Ahmedabad,buy,residential","[""Clubhouse"",""Rooftop Garden"",""Power Backup"",""Multiplex"",""Co-working Space""]","[""RERA Verified"",""Zero Brokerage""]"
Palm Springs 1BHK,Ahmedabad,Ambli,buy,residential,,active,3200000,5900,Patel Corporation,12000,2026-03-31,"Ambli, Ahmedabad, Gujarat",PR/GJ/AHMD/56789/2024,true,false,false,true,false,,,"Budget 1BHK in Ambli. 1BHK apartment in Ambli, Ahmedabad with modern amenities.",Palm Springs 1BHK - 1BHK in Ambli Ahmedabad,Buy/Rent 1BHK in Ambli. Budget 1BHK in Ambli,"1BHK,Ambli,Ahmedabad,buy,residential","[""Amphitheater"",""Gymnasium"",""Power Backup"",""Clubhouse"",""Guest Suites""]","[""RERA Verified"",""Zero Brokerage""]"
Orchid Residency 3BHK,Ahmedabad,South Bopal,buy,residential,,active,6500000,7200,Sun Builders,20000,2027-06-30,"South Bopal, Ahmedabad, Gujarat",PR/GJ/AHMD/67890/2024,true,false,false,false,false,,,"3BHK in South Bopal. 3BHK apartment in South Bopal, Ahmedabad with modern amenities.",Orchid Residency 3BHK - 3BHK in South Bopal Ahmedabad,Buy/Rent 3BHK in South Bopal. 3BHK in South Bopal,"3BHK,South Bopal,Ahmedabad,buy,residential","[""Tennis Court"",""Guest Suites"",""Multiplex"",""Clubhouse"",""Amphitheater""]","[""RERA Verified"",""Zero Brokerage""]"
Emerald Heights 4BHK,Ahmedabad,Bodakdev,buy,residential,,active,18000000,9800,Sambhaav Group,42000,2027-12-31,"Bodakdev, Ahmedabad, Gujarat",PR/GJ/AHMD/78901/2024,true,true,false,false,true,18.0,6.0,"Ultra-luxury 4BHK. 4BHK apartment in Bodakdev, Ahmedabad with modern amenities.",Emerald Heights 4BHK - 4BHK in Bodakdev Ahmedabad,Buy/Rent 4BHK in Bodakdev. Ultra-luxury 4BHK,"4BHK,Bodakdev,Ahmedabad,buy,residential","[""Rooftop Garden"",""Amphitheater"",""24/7 Security"",""Clubhouse"",""Children Play Area""]","[""RERA Verified"",""Zero Brokerage""]"
Blue Bells 2BHK,Ahmedabad,Shela,buy,residential,,active,4800000,6500,Narayan Infra,16000,2026-06-30,"Shela, Ahmedabad, Gujarat",PR/GJ/AHMD/89012/2024,true,false,false,true,false,,,"2BHK in growing Shela area. 2BHK apartment in Shela, Ahmedabad with modern amenities.",Blue Bells 2BHK - 2BHK in Shela Ahmedabad,Buy/Rent 2BHK in Shela. 2BHK in growing Shela area,"2BHK,Shela,Ahmedabad,buy,residential","[""Gymnasium"",""24/7 Security"",""Amphitheater"",""Guest Suites"",""Multiplex""]","[""RERA Verified"",""Zero Brokerage""]"
Silver Oak 3BHK,Ahmedabad,Prahlad Nagar,rent,residential,,active,55000,,Rajdeep Realty,,,"Prahlad Nagar, Ahmedabad, Gujarat",,false,false,false,false,false,,,"Semi-furnished 3BHK on rent. 3BHK apartment in Prahlad Nagar, Ahmedabad with modern amenities.",Silver Oak 3BHK - 3BHK in Prahlad Nagar Ahmedabad,Buy/Rent 3BHK in Prahlad Nagar. Semi-furnished 3BHK on rent,"3BHK,Prahlad Nagar,Ahmedabad,buy,residential","[""Swimming Pool"",""Rooftop Garden"",""Shopping Complex"",""Tennis Court"",""Children Play Area""]","[""Ready to Move""]"
